id,faturamento_medio_mensal
5061,8497.218363951622
5062,6649.221857005156
5063,11382.550138682209
5064,5797.61191377901
5065,11993.147033426229
5066,7365.630994036598
5067,6600.3533548546675
5068,4622.605418439521
5069,7913.054938383568
5070,4990.356626690749
5071,6819.393470501792
5072,8173.6632610136385
5073,5275.231738764658
5074,7927.47119220813
5075,7551.801899174972
5076,6135.875243047872
5077,7123.894278733984
5078,8000.0727734661805
5079,11353.117406193123
5080,6716.109553816499
5081,5157.1463482282525
5082,7428.382952742972
5083,8893.99738965238
5084,12253.525599118371
5085,12152.810931450813
5086,12919.80141002579
5087,12507.664947570029
5088,5747.212664117626
5089,7632.825604105806
5090,17050.705936673578
5091,4989.383878457351
5092,6871.400233103994
5095,10187.689968743141
5098,10812.95723876861
5099,10647.891206739057
5100,9525.86739759274
5101,6431.307663354436
5102,10651.58823086731
5103,4731.579456234683
5105,7885.802046147296
5106,8554.432065992887
5107,5704.3122007938255
5108,4977.262031211837
5109,9100.19143854475
5110,8464.370874747648
5111,10648.863866876904
5112,8494.856664312207
5113,11314.467798551588
5115,8553.813018241215
5116,6910.7945839222775
5117,9636.002160788887
5118,8867.327727987637
5119,11628.771437107918
5120,9083.512219501092
5121,7939.148883331942
5122,10163.56938021655
5124,6724.765224937229
5125,10812.155289801434
5126,8006.044135507789
5127,10466.156853299508
5128,9016.429973402675
5131,3979.697977515808
5132,8072.039586041256
5133,7443.071049898059
5134,3322.002311490127
5135,9905.548182330638
5136,9559.833749812082
5137,4716.048801917143
5138,8811.631332142504
5139,14125.43240691242
5140,7550.952750427937
5141,5520.491946089102
5142,10787.977031823673
5143,8514.457627445836
5144,6495.147327179427
5145,9685.451112058607
5147,8574.170760293897
5148,6652.100264001529
5149,9615.696653399085
5150,11914.659440528887
5151,10321.2833205298
5152,6014.312559697616
5153,8219.24563026368
5154,6760.441423636092
5155,6744.238131019291
5156,7206.495234077367
5157,8547.955473732654
5158,9765.596662696707
5160,4949.942464745318
5161,5844.862770137952
5162,3010.7274488592057
5163,9264.081636979496
5165,12454.093839796386
5166,5593.869827362881
5167,4769.265013507484
5168,8766.173304636142
5169,9184.788933197546
5170,5679.4527589835725
5171,10781.59245812469
5172,7193.345454517115
5173,10360.465350637338
5174,3705.118194939988
5175,10940.617329862063
5176,11247.934045087175
5177,5664.43411786888
5178,7661.126162356635
5179,9286.461795785603
5180,7101.6884202784095
5181,9901.871653181266
5182,7703.5627652258
5183,5761.725044428322
5184,10661.813522060595
5185,7193.4360862124595
5188,4848.983012546665
5189,4568.823547117605
5190,4585.140275597505
5191,8450.738893617228
5192,7506.613584075295
5193,8041.001664195984
5194,8378.178667824206
5195,10941.370467522076
5196,10530.981609907902
5197,12068.266446873373
5198,7596.503910283827
5199,9610.432593583224
5200,13621.40743464837
5201,8167.622832069322
5202,7909.896140654625
5203,11269.228442861102
5204,5850.8801525740755
5205,7929.868336219386
5206,12533.79572157797
5207,10166.464229679468
5208,10330.76564488472
5209,10898.77057585802
5210,8383.075987075757
5212,7063.4308204538
5213,4285.292466937506
